HumanGeneID,MouseOrthologGeneID,Symbol,Synonyms,Description,MitoCarta3.0_List,MitoCarta3.0_Evidence,MitoCarta3.0_SubMitoLocalization,MitoCarta3.0_MitoPathways,TrainingDataset,MitoCarta2.0_Score,MitoCarta2.0_FDR,MitoCarta2.0_List,MitoCarta2.0_Evidence,EnsemblGeneID_mapping_version_20200130,UniProt,ProteinLength,TargetP_Score,MitoDomain_Score,CoexpressionGnfN50_Score,PGC_Induction_Score,YeastMitoHomolog_Score,RickettsiaHomolog_Score,MSMS_Score,hg19_Chromosome,hg19_Start,hg19_Stop,MSMS_NUM_TISSUES,MSMS_NUM_PEPTIDES_UNIQUE,MSMS_NUM_SPECTRA,MSMS_TOTAL_INTENSITY,MSMS_PERCENT_COVERAGE,Tissues,cerebrum_total_peak_intensity_log10,cerebellum_total_peak_intensity_log10,brainstem_total_peak_intensity_log10,spinalcord_total_peak_intensity_log10,kidney_total_peak_intensity_log10,liver_total_peak_intensity_log10,heart_total_peak_intensity_log10,skeletalmuscle_total_peak_intensity_log10,adipose_total_peak_intensity_log10,smallintestine_total_peak_intensity_log10,largeintestine_total_peak_intensity_log10,stomach_total_peak_intensity_log10,placenta_total_peak_intensity_log10,testis_total_peak_intensity_log10,HPA_Main_Location_2020 (Reliability)
9377,12858.0,COX5A,COX|COX-VA|VA,cytochrome c oxidase subunit 5A,MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,Tmito,41.9796,0.0,1.0,"literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000178741,P20674,150,1.0,MitoDomain,49.0,1.91,OrthologMitoHighConf,NoHomolog,50-75pure,chr15,75212616.0,75230495.0,14.0,19.0,1523.0,427000000000.0,65.0,all 14,10.4,10.2,10.6,10.3,11.0,10.5,10.4,9.8,10.3,10.6,10.6,10.5,10.3,10.2,
122961,74316.0,ISCA2,HBLD1|ISA2|MMDS4|c14_5557,iron-sulfur cluster assembly 2,MitoCarta3.0,"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++",Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,Tmito,41.9677,0.0,1.0,"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++",ENSG00000165898,Q86U28,154,1.0,MitoDomain,28.0,1.07,OrthologMitoHighConf,Ortholog,75-100pure,chr14,74960422.0,74962271.0,14.0,10.0,163.0,3990000000.0,79.0,all 14,8.4,8.4,8.7,8.3,8.8,8.2,7.9,7.2,8.7,8.5,8.4,8.0,8.5,8.5,
9512,73078.0,PMPCB,Beta-MPP|MPP11|MPPB|MPPP52|P-52,"peptidase, mitochondrial processing subunit beta",MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",Tmito,41.6397,0.0,1.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000105819,O75439,489,1.0,MitoDomain,42.0,0.74,OrthologMitoLowConf,Homolog,50-75pure,chr7,102937872.0,102955133.0,14.0,22.0,275.0,23700000000.0,55.0,all 14,9.0,6.8,9.1,8.7,9.8,8.7,9.6,8.0,9.0,9.6,8.9,9.2,9.4,9.0,Mitochondria (Enhanced)
7386,66694.0,UQCRFS1,MC3DN10|RIP1|RIS1|RISP|UQCR5,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,Tmito,40.7667,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++",ENSG00000169021,P47985,274,2.0,MitoDomain,48.0,,OrthologMitoHighConf,Ortholog,75-100pure,chr19,29698166.0,29704136.0,14.0,28.0,3522.0,278000000000.0,77.0,all 14,10.5,10.4,10.7,10.2,10.5,10.3,10.5,9.7,10.0,10.2,10.1,10.0,10.1,10.0,Mitochondria (Approved)
498,11946.0,ATP5F1A,ATP5A|ATP5A1|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1,ATP synthase F1 subunit alpha,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,Tmito,40.7095,0.0,1.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",ENSG00000152234,P25705,553,1.0,SharedDomain,48.0,1.53,OrthologMitoHighConf,Homolog,75-100pure,chr18,43664109.0,43684199.0,14.0,71.0,14666.0,2250000000000.0,80.0,all 14,11.2,10.8,11.2,10.9,11.5,11.0,11.6,11.1,11.1,11.4,11.0,11.3,11.2,10.5,Mitochondria (Supported)
4967,18293.0,OGDH,AKGDH|E1k|KGD1|OGDC|OGDH2,oxoglutarate dehydrogenase,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > TCA cycle,Tmito,40.5677,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000105953,Q02218,1023,2.0,MitoDomain,46.0,3.07,OrthologMitoLowConf,Homolog,50-75pure,chr7,44646120.0,44748669.0,14.0,106.0,8271.0,716000000000.0,71.0,all 14,10.6,10.6,10.9,9.9,11.1,9.9,10.8,10.9,10.6,10.8,10.7,10.7,10.5,10.4,Mitochondria (Enhanced)
5162,68263.0,PDHB,PDHBD|PDHE1-B|PDHE1B|PHE1B,pyruvate dehydrogenase E1 subunit beta,MitoCarta3.0,"literature, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,Tmito,40.5677,0.0,1.0,"literature, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000168291,P11177,359,2.0,MitoDomain,47.0,1.67,OrthologMitoLowConf,Homolog,50-75pure,chr3,58413356.0,58419579.0,14.0,22.0,1918.0,196000000000.0,74.0,all 14,10.2,9.9,10.3,10.2,10.0,9.6,10.5,9.8,10.4,9.8,9.9,9.9,10.0,10.5,Mitochondria (Supported)
7385,67003.0,UQCRC2,MC3DN5|QCR2|UQCR2,ubiquinol-cytochrome c reductase core protein 2,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits",Tmito,40.5677,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000140740,P22695,453,2.0,MitoDomain,45.0,1.79,OrthologMitoLowConf,Homolog,50-75pure,chr16,21964608.0,21994668.0,14.0,36.0,4282.0,409000000000.0,61.0,all 14,10.5,10.0,10.3,10.3,10.6,10.3,10.9,10.4,10.3,10.7,10.5,10.5,10.2,10.2,Mitochondria (Enhanced)
6392,66925.0,SDHD,CBT1|CII-4|CWS3|PGL|PGL1|QPs3|SDH4|cybS,succinate dehydrogenase complex subunit D,MitoCarta3.0,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,Tmito,40.1392,0.0,1.0,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",ENSG00000204370,O14521,159,3.0,MitoDomain,45.0,2.02,OrthologMitoHighConf,Ortholog,25-50pure,chr11,111957547.0,111966525.0,14.0,4.0,221.0,5870000000.0,28.0,all 14,8.8,8.3,8.5,7.8,8.9,8.6,8.4,8.3,8.4,8.9,8.6,8.5,8.7,8.9,
60488,232536.0,MRPS35,HDCMD11P|MDS023|MRP-S28|MRPS28,mitochondrial ribosomal protein S35,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Tmito,39.6435,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000061794,P82673,323,2.0,MitoDomain,43.0,1.81,OrthologMitoHighConf,NoHomolog,50-75pure,chr12,27863705.0,27909237.0,14.0,22.0,144.0,3270000000.0,57.0,all 14,8.4,8.0,8.1,6.8,8.2,7.4,7.8,8.0,8.5,8.5,8.8,7.7,9.0,8.1,Mitochondria (Approved)
27089,22272.0,UQCRQ,MC3DN4|QCR8|QP-C|QPC|UQCR7,ubiquinol-cytochrome c reductase complex III subunit VII,MitoCarta3.0,"literature, APEX_IMS, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,Tmito,39.3103,0.0,1.0,"literature, APEX_IMS, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000164405,O14949,82,2.0,MitoDomain,47.0,0.66,OrthologMitoHighConf,NoHomolog,75-100pure,chr5,132202318.0,132204536.0,14.0,16.0,1153.0,96800000000.0,93.0,all 14,9.9,9.6,9.9,9.6,10.2,9.8,9.8,9.2,9.8,10.0,10.1,9.8,9.6,9.5,Mitochondria (Enhanced)
116540,68499.0,MRPL53,L53MT,mitochondrial ribosomal protein L53,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Tmito,39.3103,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000204822,Q96EL3,112,2.0,MitoDomain,47.0,0.6,OrthologMitoHighConf,NoHomolog,75-100pure,chr2,74699084.0,74699942.0,14.0,13.0,157.0,4340000000.0,92.0,all 14,8.4,8.2,8.4,8.1,8.6,8.6,7.7,7.1,8.3,8.6,8.9,8.2,8.9,8.4,Mitochondria (Supported)
1629,13171.0,DBT,BCATE2|BCKAD-E2|BCKADE2|BCKDH-E2|BCOADC-E2|E2|E2B,dihydrolipoamide branched chain transacylase E2,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS++",Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,Tmito,39.2448,0.0,1.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS++",ENSG00000137992,P11182,482,1.0,MitoDomain,34.0,2.32,OrthologMitoLowConf,Homolog,50-75pure,chr1,100652477.0,100715409.0,14.0,33.0,809.0,32700000000.0,67.0,all 14,8.5,7.7,8.4,8.4,9.9,9.6,9.2,8.6,9.8,9.2,9.1,9.9,9.2,8.9,Mitochondria (Supported)
5166,27273.0,PDK4,-,pyruvate dehydrogenase kinase 4,MitoCarta3.0,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++",MIM,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,Tmito,38.7139,0.0,1.0,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++",ENSG00000004799,Q16654,411,2.0,MitoDomain,18.0,1.77,OrthologMitoHighConf,Ortholog,50-75pure,chr7,95212808.0,95225925.0,13.0,21.0,76.0,2810000000.0,63.0,"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, testis",7.2,5.2,7.6,7.2,7.2,7.3,7.7,9.3,8.4,8.1,7.6,7.4,,7.9,
4191,17448.0,MDH2,EIEE51|M-MDH|MDH|MGC:3559|MOR1,malate dehydrogenase 2,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle,Tmito,38.3734,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",ENSG00000146701,P40926,338,2.0,SharedDomain,50.0,1.54,OrthologMitoHighConf,Homolog,75-100pure,chr7,75677336.0,75696827.0,14.0,42.0,6117.0,1440000000000.0,79.0,all 14,11.1,10.8,11.2,10.9,10.9,10.6,11.4,10.6,11.0,11.3,10.9,10.8,11.0,10.6,Mitochondria (Enhanced)
23107,218506.0,MRPS27,MRP-S27|S27mt,mitochondrial ribosomal protein S27,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Tmito,38.3207,0.0,1.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS++",ENSG00000113048,Q92552,428,1.0,MitoDomain,32.0,1.87,OrthologMitoHighConf,NoHomolog,50-75pure,chr5,71515235.0,71616084.0,13.0,23.0,128.0,2900000000.0,54.0,"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",7.9,7.3,7.4,8.0,8.3,7.8,,7.7,8.4,8.8,8.7,8.3,8.8,8.3,Mitochondria;Nucleoplasm (Approved)
1431,12974.0,CS,-,citrate synthase,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > TCA cycle,Tmito,37.826,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",ENSG00000062485,O75390,466,3.0,SharedDomain,48.0,2.32,OrthologMitoHighConf,Ortholog,50-75pure,chr12,56665482.0,56694175.0,14.0,33.0,3539.0,346000000000.0,59.0,all 14,10.4,10.0,10.3,10.2,10.1,10.0,10.8,10.4,10.4,10.7,10.2,10.5,10.4,10.2,Mitochondria (Enhanced)
80273,17713.0,GRPEL1,GrpE|HMGE|mt-GrpE#1,"GrpE like 1, mitochondrial",MitoCarta3.0,"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis",Tmito,37.8199,0.0,1.0,"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000109519,Q9HAV7,217,1.0,MitoDomain,43.0,1.53,HomologMitoLowConf,Homolog,50-75pure,chr4,7061779.0,7069800.0,14.0,24.0,495.0,31400000000.0,74.0,all 14,9.4,9.2,9.3,9.0,9.6,9.6,9.2,8.0,9.3,9.3,9.2,9.0,9.8,9.1,Mitochondria (Supported)
1737,235339.0,DLAT,DLTA|E2|PBC|PDC-E2|PDCE2,dihydrolipoamide S-acetyltransferase,MitoCarta3.0,"literature, APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,Tmito,37.7551,0.0,1.0,"literature, APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000150768,P10515,647,4.0,MitoDomain,41.0,2.68,OrthologMitoLowConf,Homolog,50-75pure,chr11,111895537.0,111935002.0,14.0,36.0,2960.0,370000000000.0,60.0,all 14,10.6,10.3,10.7,10.5,10.4,9.8,10.4,10.5,10.5,9.9,10.1,10.1,10.1,10.5,Mitochondria (Enhanced)
