Symbol,SubMitoLocalization_raw,MitoPathway_raw,SubMitoLocalization,MitoPathway
UQCRFS1,MIM,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex III > CIII subunits
UQCRFS1,MIM,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,MIM,Metabolism > Metals and cofactors > Fe-S-containing proteins
UQCRFS1,MIM,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
ATP5F1A,MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex V > CV subunits
ATP5F1A,MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
OGDH,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle
PDHB,Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
UQCRC2,MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits",MIM,Protein import
UQCRC2,MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits",MIM,sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
SDHD,MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex II > CII subunits
SDHD,MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,MIM,Metabolism > Carbohydrate metabolism > TCA cycle
SDHD,MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,MIM,Metabolism > Metals and cofactors > Heme-containing proteins
SDHD,MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
MRPS35,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
UQCRQ,MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex III > CIII subunits
UQCRQ,MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
MRPL53,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
DBT,Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
DBT,Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
PDK4,MIM,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,MIM,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
MDH2,Matrix,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle,Matrix,Metabolism > Carbohydrate metabolism > Gluconeogenesis
MDH2,Matrix,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle,Matrix,Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle
MDH2,Matrix,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle
MRPS27,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
CS,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle
GRPEL1,Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis",Matrix,Protein import
GRPEL1,Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis",Matrix,sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
DLAT,Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
LRPPRC,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
LRPPRC,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation,Matrix,Mitochondrial central dogma > Translation
DLST,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Lysine metabolism,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle
DLST,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Lysine metabolism,Matrix,Metabolism > Amino acid metabolism > Lysine metabolism
PDHX,Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
GFM1,Matrix,Mitochondrial central dogma > Translation > Translation factors,Matrix,Mitochondrial central dogma > Translation > Translation factors
MPC2,MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport,MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis
MPC2,MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport,MIM,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
MPC2,MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport,MIM,Metabolism > Carbohydrate metabolism > TCA-associated
MPC2,MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport,MIM,Small molecule transport
NDUFS1,MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex I > CI subunits
NDUFS1,MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,MIM,Metabolism > Metals and cofactors > Fe-S-containing proteins
NDUFS1,MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
MRPL46,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ATP5F1E,MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex V > CV subunits
ATP5F1E,MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
SLC25A3,MIM,Metabolism > Metals and cofactors > Copper metabolism | Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > SLC25A family,MIM,Metabolism > Metals and cofactors > Copper metabolism
SLC25A3,MIM,Metabolism > Metals and cofactors > Copper metabolism | Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > SLC25A family,MIM,Signaling > Calcium homeostasis > Calcium cycle
SLC25A3,MIM,Metabolism > Metals and cofactors > Copper metabolism | Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > SLC25A family,MIM,Small molecule transport > SLC25A family
MRPS23,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
FH,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle
PMPCA,Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",Matrix,Protein import
PMPCA,Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",Matrix,sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import
PMPCA,Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",Matrix,sorting and homeostasis > Protein homeostasis > Proteases
ATP5F1B,MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex V > CV subunits
ATP5F1B,MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
SDHAF4,Matrix,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,Matrix,OXPHOS > Complex II > CII assembly factors
SDHAF4,Matrix,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,Matrix,OXPHOS > OXPHOS assembly factors
UQCR10,MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex III > CIII subunits
UQCR10,MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
ISCA1,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
ISCA1,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,Matrix,Metabolism > Metals and cofactors > Fe-S-containing proteins
SUCLA2,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle
SUCLA2,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,Matrix,Metabolism > Carbohydrate metabolism > Itaconate metabolism
SUCLA2,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,Matrix,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
COQ3,MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism
IARS2,Matrix,Mitochondrial central dogma > Translation > mt-tRNA synthetases,Matrix,Mitochondrial central dogma > Translation > mt-tRNA synthetases
MRPS15,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
IDH3A,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle
COX11,MIM,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > Complex IV > CIV assembly factors
COX11,MIM,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors,MIM,Metabolism > Metals and cofactors > Copper metabolism
COX11,MIM,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > OXPHOS assembly factors
ETFDH,MIM,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other",MIM,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions
ETFDH,MIM,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other",MIM,other
TIMM10,MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",MIM,Protein import
TIMM10,MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",MIM,sorting and homeostasis > Protein homeostasis > Chaperones | Protein import
TIMM10,MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",MIM,sorting and homeostasis > Protein import and sorting
MRPL34,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MRPL2,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
BCKDHA,MIM,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,MIM,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
BCKDHA,MIM,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,MIM,Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
UQCRH,MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex III > CIII subunits
UQCRH,MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
HIGD2A,MIM,OXPHOS > OXPHOS assembly factors | OXPHOS > Respirasome assembly,MIM,OXPHOS > OXPHOS assembly factors
HIGD2A,MIM,OXPHOS > OXPHOS assembly factors | OXPHOS > Respirasome assembly,MIM,OXPHOS > Respirasome assembly
ATP5PO,MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex V > CV subunits
ATP5PO,MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
ECHS1,Matrix,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism,Matrix,Metabolism > Lipid metabolism > Fatty acid oxidation
ECHS1,Matrix,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism,Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
ECHS1,Matrix,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism,Matrix,Metabolism > Amino acid metabolism > Lysine metabolism
LETMD1,Membrane,Small molecule transport,Membrane,Small molecule transport
COX6A1,MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex IV > CIV subunits
COX6A1,MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
COX15,MIM,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > Complex IV > CIV assembly factors
COX15,MIM,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS assembly factors,MIM,Metabolism > Metals and cofactors > Heme synthesis and processing
COX15,MIM,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > OXPHOS assembly factors
AFG3L2,MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",MIM,Protein import
AFG3L2,MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",MIM,sorting and homeostasis > Protein homeostasis > Proteases
HADHA,MIM,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,MIM,Metabolism > Lipid metabolism > Fatty acid oxidation
HADHA,MIM,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,MIM,Metabolism > Lipid metabolism > Cardiolipin synthesis
HADHA,MIM,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,MIM,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
ETFA,Matrix,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other",Matrix,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions
ETFA,Matrix,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other",Matrix,other
NDUFS7,MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex I > CI subunits
NDUFS7,MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,MIM,Metabolism > Metals and cofactors > Fe-S-containing proteins
NDUFS7,MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
CPT2,MIM,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle,MIM,Metabolism > Lipid metabolism > Fatty acid oxidation
CPT2,MIM,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle,MIM,Metabolism > Metals and cofactors > Carnitine synthesis and transport
CPT2,MIM,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle,MIM,Metabolism > Metals and cofactors > Carnitine shuttle
BCKDHB,MIM,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,MIM,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
BCKDHB,MIM,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,MIM,Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
IDH3B,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle
LARS2,Matrix,Mitochondrial central dogma > Translation > mt-tRNA synthetases,Matrix,Mitochondrial central dogma > Translation > mt-tRNA synthetases
ACADS,Matrix,Metabolism > Lipid metabolism > Fatty acid oxidation,Matrix,Metabolism > Lipid metabolism > Fatty acid oxidation
LETM1,MIM,Signaling > Calcium homeostasis > Calcium cycle,MIM,Signaling > Calcium homeostasis > Calcium cycle
